smiles,Scaffold,Decoration,label
CC1(C)C(=O)N(C2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,*C1(C)C(=O)N(C2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,*C,3
CC1(C)C(=O)N(C2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,*C1(C)C(=O)N(C2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,*C,3
COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,*n1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)c(F)c2)c(=O)n1-c1ccccc1,*C,3
COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,*c1c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)c(F)c2)c(=O)n(-c2ccccc2)n1C,*C,3
CN(c1ncnc2[nH]ccc12)N1CCCN(C(=O)CC(F)(F)F)CC1,*N(c1ncnc2[nH]ccc12)N1CCCN(C(=O)CC(F)(F)F)CC1,*C,3
Cc1[nH]nc2[nH]c(=O)cc(C3CCC(NC(=O)C4CCCC4)CC3)c12,*c1[nH]nc2[nH]c(=O)cc(C3CCC(NC(=O)C4CCCC4)CC3)c12,*C,3
Cc1[nH]nc2[nH]c(=O)c(CCO)c(C3CCCCC3)c12,*c1[nH]nc2[nH]c(=O)c(CCO)c(C3CCCCC3)c12,*C,3
CNC(=O)c1cnc2[nH]ccc2c1NC1CCN(Cc2ccc(OC)c(OC)c2)CC1,*NC(=O)c1cnc2[nH]ccc2c1NC1CCN(Cc2ccc(OC)c(OC)c2)CC1,*C,3
CCOc1nn(C)cc1Nc1ncc(F)c(-c2c[nH]c3c(NC(=O)C(C)N4CCN(C)CC4C)cccc23)n1,*C1CN(C)CCN1C(C)C(=O)Nc1cccc2c(-c3nc(Nc4cn(C)nc4OCC)ncc3F)c[nH]c12,*C,3
CCOc1nn(C)cc1Nc1ncc(F)c(-c2c[nH]c3c(NC(=O)C(C)N4CCN(C)CC4C)cccc23)n1,*N1CCN(C(C)C(=O)Nc2cccc3c(-c4nc(Nc5cn(C)nc5OCC)ncc4F)c[nH]c23)C(C)C1,*C,3
CCOc1nn(C)cc1Nc1ncc(F)c(-c2c[nH]c3c(NC(=O)C(C)N4CCN(C)CC4C)cccc23)n1,*n1cc(Nc2ncc(F)c(-c3c[nH]c4c(NC(=O)C(C)N5CCN(C)CC5C)cccc34)n2)c(OCC)n1,*C,3
COCCc1c[nH]c2ncnc(-c3ccc4c(c3)C(NC#N)CC4)c12,*OCCc1c[nH]c2ncnc(-c3ccc4c(c3)C(NC#N)CC4)c12,*C,3
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,*N1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,*C,3
CC1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C,3
CC1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C,3
CC1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C,3
CC1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C1(C)CC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC(C)(C)N1,*C,3
COCCNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,*OCCNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,*C,3
COCCc1c[nH]c2ncnc(-c3ccc4c(c3)N(C#N)CCO4)c12,*OCCc1c[nH]c2ncnc(-c3ccc4c(c3)N(C#N)CCO4)c12,*C,3
CC(=O)N1CC(CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,*n1cc(-c2cn3nccc3c(-c3cnn(C4(CC#N)CN(C(C)=O)C4)c3)n2)cn1,*C,3
