SMILES,Scaffold,Decoration,label
CCN(CC)CC.NC1C(OP(=O)(O)OP(=O)(O)O)C(CO)OC1n1ccc(=O)[nH]c1=O,[*]C1C(CO)OC(n2ccc(=O)[nH]c2=O)C1N,CCN(CC)CC,0
CCN(CC)CC.NC1C(OP(=O)(O)OP(=O)(O)O)C(CO)OC1n1ccc(=O)[nH]c1=O,[*]n1ccc(=O)[nH]c1=O,CCN(CC)CC,0
CCN(CC)CC.NC1C(OP(=O)(O)OP(=O)(O)O)C(CO)OC1n1ccc(=O)[nH]c1=O,[*]C1C(OP(=O)(O)OP(=O)(O)O)C(CO)OC1n1ccc(=O)[nH]c1=O,CCN(CC)CC,0
CCN(CC)CC.CCOc1ccccc1-n1c(=S)sc2c(=O)n(-c3ccccc3)c(=S)[nH]c21,[*]n1c(=S)sc2c(=O)n(-c3ccccc3)c(=S)[nH]c21,CCN(CC)CC,0
CCN(CC)CC.CCOc1ccccc1-n1c(=S)sc2c(=O)n(-c3ccccc3)c(=S)[nH]c21,[*]Oc1ccccc1-n1c(=S)sc2c(=O)n(-c3ccccc3)c(=S)[nH]c21,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]CCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]CCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]CC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]C1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]CCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]OCC1CSP(=O)(O)O1,CCN(CC)CC,0
CCCCCCCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1.CCN(CC)CC,[*]CCCC=CCCCCCCCC(=O)OCC1CSP(=O)(O)O1,CCN(CC)CC,0
